run_idx,model_type,latent_dim,hidden_dim,latent_scale,best_int_loss,final_int_loss,final_loss,epochs_ran,num_params
33,conv_then_linear,6,64,2,0.23427057157039644,0.23879875811100007,0.04158621715188027,6,45615
165,mlp_only,6,128,2,0.2350656289958954,0.24120198048591615,0.03956300187110901,9,78898
14,conv_then_linear,2,512,4,0.23584520230293274,0.2686872450351715,0.05521951509833336,5,1367203
89,linear_then_conv,4,256,2,0.2371164022922516,0.26183814259529115,0.03782362694621086,6,252309
97,linear_then_conv,6,64,2,0.24023816638469697,0.24618558380126954,0.0315725146996975,18,43087
78,linear_then_conv,2,512,4,0.24030776488304137,0.25479888340950013,0.05020422256469727,5,846627
153,mlp_only,4,256,2,0.2410020529603958,0.25346284610748293,0.044354736100435256,7,156464
161,mlp_only,6,64,2,0.24177575819015504,0.24324802782058716,0.04830754508852959,9,39602
45,conv_then_linear,6,512,2,0.2424502419900894,0.25001489256381987,0.015070631940662861,5,1371303
10,conv_then_linear,2,256,4,0.2429504956626892,0.27303498600006104,0.06438623531103134,5,343123
49,conv_then_linear,8,64,2,0.24442973450660704,0.24939744287490845,0.030564221435785292,11,45873
157,mlp_only,4,512,2,0.24485864775657654,0.25594218128204343,0.028564990522265434,8,312624
6,conv_then_linear,2,128,4,0.2460409251689911,0.24951601650714875,0.09144336668252945,6,86443
101,linear_then_conv,6,128,2,0.2503892895936966,0.25751485589027406,0.027780230727791785,20,83663
41,conv_then_linear,6,256,2,0.2525675206232071,0.26107975675582884,0.025106042105555535,6,345175
29,conv_then_linear,4,512,2,0.25323948049545286,0.29056445886611937,0.019137625742554665,5,1369253
142,mlp_only,2,512,4,0.2576429049396515,0.2680075067138672,0.05403112977743149,8,310574
9,conv_then_linear,2,256,2,0.2590447814941406,0.25967763768196106,0.2585310190486908,20,343123
70,linear_then_conv,2,128,4,0.26445179438591004,0.2649177935695648,0.25863253944396974,11,82635
117,linear_then_conv,8,128,2,0.264535528678894,0.2694837528705597,0.034182604194879534,8,84177
17,conv_then_linear,4,64,2,0.2656811390781403,0.2665216755104065,0.039234259935617445,15,45357
149,mlp_only,4,128,2,0.2657936228084564,0.2799553615283966,0.06140625829815865,6,78384
69,linear_then_conv,2,128,2,0.26830038785934446,0.26830038785934446,0.2585319472885132,20,82635
21,conv_then_linear,4,128,2,0.27852332556724546,0.30286593936920164,0.055689519128799436,5,86957
145,mlp_only,4,64,2,0.29230675730705263,0.29880752727508547,0.060037254962921144,12,39344
37,conv_then_linear,6,128,2,0.30032945346832274,0.32564380624771117,0.05221897199034691,5,87471
25,conv_then_linear,4,256,2,0.30442830318450925,0.4011807902336121,0.0656896450126171,4,344149
137,mlp_only,2,256,2,0.30539839046478273,0.37602259229660034,0.06966022315263748,4,155438
65,linear_then_conv,2,64,2,0.3085549265289307,0.381713683347702,0.08190191298007965,8,42571
73,linear_then_conv,2,256,2,0.3091715178203583,0.38398499879837034,0.06647817912101746,5,251283
